Id,DateCreated,UserId,SendAmount,SendCurrencyId,ReceiveAmount,ReceiveCurrencyId,Narration,ExchangeRate,BaseAmount
1800633,2023-12-31,2a51-45d2-997,400,CAD,358000,NGN,Other Personal Services,895,400
1800634,2023-12-31,edc5-4484-897,150,CAD,134250,NGN,Other Personal Services,895,150
1800636,2023-12-31,652b-4fac-a26,10,CAD,8950,NGN,Interest,895,10
1800639,2023-12-31,b09f-4d1b-b73,11,CAD,9935,NGN,Grants and Gifts,895,11
1800640,2023-12-31,488a-4b08-a03,1347000,NGN,1480,CAD,School-Related,0.001098901,1480
1800644,2023-12-31,fa70-408e-8ce,250,CAD,223750,NGN,Goods and Services,895,250
1800647,2023-12-31,b967-4a47-b66,98000,NGN,108,CAD,Deposits with/from Financial Institutions Abroad,0.001098901,108
1800648,2023-12-31,7805-47e7-be5,300,CAD,268500,NGN,Education-Related,895,300
1800650,2023-12-31,5b49-412a-8c9,250,CAD,223750,NGN,Health-Related,895,250
1800652,2023-12-31,9e53-47d2-a3d,70,CAD,62650,NGN,Other Personal Services,895,70
1800653,2023-12-31,a171-4320-bf6,224,CAD,200480,NGN,Goods and Services,895,224
1800654,2023-12-31,b504-44c0-a44,1218392,NGN,1342,CAD,School-Related,0.001101322,1342
1800659,2023-12-31,1d4c-4a30-a21,100,CAD,89500,NGN,Interest,895,100
1800662,2023-12-31,1fb8-439e-bd3,122,CAD,109190,NGN,Goods and Services,895,122
1800663,2023-12-31,3dae-48f8-8ac,10,CAD,8950,NGN,Passenger Fare,895,10
1800666,2023-12-31,7c67-486e-8d5,45,CAD,40275,NGN,Health-Related,895,45
1800670,2023-12-31,382e-4f78-af7,240000,NGN,264,CAD,School-Related,0.001098901,264
1800671,2023-12-31,53bc-462d-b34,200,CAD,179000,NGN,Grants and Gifts,895,200
1800672,2023-12-31,7df9-462f-80c,80,CAD,71600,NGN,Other Personal Services,895,80
1800674,2023-12-31,c376-43e7-a25,466,CAD,417070,NGN,Grants and Gifts,895,466
1800675,2023-12-31,b5a2-4356-9ed,200000,NGN,220,CAD,Other Personal Services,0.001098901,220
1800676,2023-12-31,da00-4c23-bca,92000,NGN,101,CAD,School-Related,0.001098901,101
1800677,2023-12-31,1a6a-4ccf-953,500,CAD,447500,NGN,Other Personal Services,895,500
1800679,2023-12-31,ca65-4276-bdf,23,CAD,20585,NGN,Goods and Services,895,23
1800680,2023-12-31,9d7e-415a-bd9,1549000,NGN,1702,CAD,Passenger Fare,0.001098901,1702
1800683,2023-12-31,9dc6-49e7-bdc,50,CAD,44750,NGN,Goods and Services,895,50
1800686,2023-12-31,da00-4c23-bca,1131000,NGN,1243,CAD,School-Related,0.001098901,1243
1800687,2023-12-31,e325-4238-a11,12,CAD,10740,NGN,Grants and Gifts,895,12
1800688,2023-12-31,b8d7-450e-b71,1998000,NGN,2196,CAD,School-Related,0.001098901,2196
1800689,2023-12-31,9b6f-49b2-867,130,CAD,116350,NGN,Other Personal Services,895,130
1800691,2023-12-31,f90f-42a4-941,80,CAD,71600,NGN,Grants and Gifts,895,80
1800697,2023-12-31,579a-48b9-a09,130,CAD,116350,NGN,Grants and Gifts,895,130
1800698,2023-12-31,21c1-42ca-919,17,CAD,15215,NGN,Grants and Gifts,895,17
1800699,2023-12-31,77cb-47a7-a80,45,CAD,40275,NGN,Grants and Gifts,895,45
1800701,2023-12-31,e41c-4c07-bf2,80,CAD,71600,NGN,Other Personal Services,895,80
1800702,2023-12-31,ce59-4d6d-9e4,112,CAD,100240,NGN,Grants and Gifts,895,112
1800703,2023-12-31,aed0-4f7f-849,163,CAD,145885,NGN,Goods and Services,895,163
1800706,2023-12-31,9b6f-49b2-867,60,CAD,53700,NGN,Other Personal Services,895,60
1800707,2023-12-31,9b6f-49b2-867,70,CAD,62650,NGN,Other Personal Services,895,70
1800709,2023-12-31,2f89-4561-b40,35000,NGN,38,CAD,School-Related,0.001098901,38
1800710,2023-12-31,77cb-47a7-a80,23,CAD,20585,NGN,Grants and Gifts,895,23
1800711,2023-12-31,7d1f-46c9-b67,79,CAD,70705,NGN,Grants and Gifts,895,79
1800715,2023-12-31,f11a-4bde-b81,34,CAD,30430,NGN,School-Related,895,34
1800716,2023-12-31,eb72-456a-b58,90,CAD,80550,NGN,Passenger Fare,895,90
1800718,2023-12-31,8191-44e6-b1f,40,CAD,35800,NGN,School-Related,895,40
1800721,2023-12-31,eb72-456a-b58,18,CAD,16110,NGN,Goods and Services by Travellers,895,18
1800723,2023-12-31,e4e9-4bf4-9b1,200,CAD,179000,NGN,Education-Related,895,200
1800725,2023-12-31,68da-4586-a30,80,CAD,71600,NGN,Goods and Services,895,80
1800727,2023-12-31,5b14-4061-968,508400,NGN,559,CAD,Other Personal Services,0.001098901,559
1800728,2023-12-31,2085-47c0-958,100,CAD,89500,NGN,Investment Income,895,100
1800731,2023-12-31,31a5-4e62-b9f,50,CAD,44750,NGN,Other Personal Services,895,50
1800732,2023-12-31,1e4d-4f06-89c,250,CAD,223750,NGN,School-Related,895,250
1800733,2023-12-31,2041-4b08-8d5,31,CAD,27745,NGN,Grants and Gifts,895,31
1800734,2023-12-31,f159-4510-8a2,600,CAD,537000,NGN,School-Related,895,600
1800736,2023-12-31,7ccf-4ee3-9e5,22,CAD,19690,NGN,Goods and Services,895,22
1800737,2023-12-31,e2da-4d33-ae2,200,CAD,179000,NGN,Health-Related,895,200
1800738,2023-12-31,d3c2-4e1a-8bb,20,CAD,17900,NGN,School-Related,895,20
1800741,2023-12-31,8727-4a05-b08,150,CAD,134250,NGN,Health-Related,895,150
1800744,2023-12-31,8ab9-406e-b25,1000000,NGN,1099,CAD,Other Personal Services,0.001098901,1099
1800745,2023-12-31,d3c2-4e1a-8bb,20,CAD,17900,NGN,Health-Related,895,20
1800746,2023-12-31,d66c-4850-b56,200,CAD,179000,NGN,Passenger Fare,895,200
1800749,2023-12-31,7e9c-43d3-b14,1900,CAD,1700500,NGN,School-Related,895,1900
1800750,2023-12-31,3017-4dd0-82d,284300,NGN,312,CAD,School-Related,0.001098901,312
1800751,2023-12-31,da83-4f57-ab1,70,CAD,62650,NGN,Other Personal Services,895,70
1800752,2023-12-31,8ab9-406e-b25,2798000,NGN,3075,CAD,Other Personal Services,0.001098901,3075
1800756,2023-12-31,542e-411f-a60,559,CAD,500305,NGN,Other Personal Services,895,559
1800757,2023-12-31,4f56-4bf1-a92,280,CAD,250600,NGN,Grants and Gifts,895,280
1800760,2023-12-31,a1a3-43e9-b8c,798000,NGN,879,CAD,School-Related,0.001101322,879
1800761,2023-12-31,7d12-46ac-9c8,140,CAD,125300,NGN,Grants and Gifts,895,140
1800768,2023-12-31,f356-4b20-8ea,40,CAD,35800,NGN,Other Personal Services,895,40
1800770,2023-12-31,c98a-4adc-a79,910000,NGN,1000,CAD,Other Personal Services,0.001098901,1000
1800771,2023-12-31,3a15-48bd-8c0,24617,NGN,27,CAD,Grants and Gifts,0.001098901,27
1800773,2023-12-31,ff58-4747-a2a,1000,CAD,895000,NGN,"Architectural, Engineering and Other Technical Services",895,1000
1800774,2023-12-31,c98a-4adc-a79,3640500,NGN,4001,CAD,Other Personal Services,0.001098901,4001
1800775,2023-12-31,ef11-4193-a8c,49,CAD,43855,NGN,Other Personal Services,895,49
1800779,2023-12-31,4d01-4d9f-93b,1000,CAD,895000,NGN,Health-Related,895,1000
1800780,2023-12-31,0817-42c7-b49,500,CAD,447500,NGN,Other Personal Services,895,500
1800781,2023-12-31,1c27-4a4a-9fc,90,CAD,80550,NGN,Other Personal Services,895,90
1800788,2023-12-31,ec0b-418f-bf1,45,CAD,40275,NGN,Other Personal Services,895,45
1800791,2023-12-31,643b-4470-86f,50,CAD,44750,NGN,Other Personal Services,895,50
1800792,2023-12-31,4870-455c-a4d,10,CAD,8950,NGN,Goods and Services,895,10
1800793,2023-12-31,36b7-4eca-920,300,CAD,268500,NGN,Health-Related,895,300
1800794,2023-12-31,8dc1-489a-b81,498000,NGN,547,CAD,School-Related,0.001098901,547
1800795,2023-12-31,8ba6-446f-8d0,45,CAD,40275,NGN,Other Personal Services,895,45
1800796,2023-12-31,56eb-4ee5-831,30,CAD,26850,NGN,Wages and Salaries in Cash,895,30
1800797,2023-12-31,80c7-4de6-ad7,180,CAD,161100,NGN,Grants and Gifts,895,180
1800800,2023-12-31,90a4-45cd-b81,27000,NGN,30,CAD,School-Related,0.001098901,30
1800803,2023-12-31,2a6a-4080-b24,100,CAD,89500,NGN,School-Related,895,100
1800804,2023-12-31,7b87-4b30-873,100,CAD,89500,NGN,Goods and Services,895,100
1800805,2023-12-31,3358-4fc0-a65,728000,NGN,800,CAD,Goods and Services,0.001098901,800
1800810,2023-12-31,d940-42c2-9de,90,CAD,80550,NGN,School-Related,895,90
1800811,2023-12-31,5f4a-4aeb-907,23,CAD,20585,NGN,School-Related,895,23
1800813,2023-12-31,00fc-4a7d-8e4,59,CAD,52805,NGN,Grants and Gifts,895,59
1800817,2023-12-31,5f4a-4aeb-907,77,CAD,68915,NGN,School-Related,895,77
1800818,2023-12-31,78d5-4cc1-882,50,CAD,44750,NGN,School-Related,895,50
1800819,2023-12-31,abd1-4c2d-831,100,CAD,89500,NGN,Other Personal Services,895,100
1800821,2023-12-31,00fc-4a7d-8e4,28,CAD,25060,NGN,Grants and Gifts,895,28
1800823,2023-12-31,433f-4cdc-b31,45,CAD,40275,NGN,Other Personal Services,895,45
1800824,2023-12-31,807a-4515-9f7,65,CAD,58175,NGN,Other Personal Services,895,65
1800825,2023-12-31,527f-4c05-ad0,22,CAD,20004,NGN,Grants and Gifts,895,22
1800826,2023-12-31,7bd1-40eb-83f,500,CAD,447500,NGN,School-Related,895,500
1800827,2023-12-31,68f2-4760-825,5500,NGN,5500,NGN,Debit Account,1,6
1800828,2023-12-31,04d8-49e3-84b,56,CAD,50120,NGN,Health-Related,895,56
1800832,2023-12-31,04d8-49e3-84b,56,CAD,50120,NGN,Health-Related,895,56
1800834,2023-12-31,bca5-4102-8b4,40,CAD,35800,NGN,Other Personal Services,895,40
1800835,2023-12-31,433f-4cdc-b31,23,CAD,20585,NGN,Other Personal Services,895,23
1800836,2023-12-31,88db-4d76-aa8,10,CAD,8950,NGN,Investment Income,895,10
1800838,2023-12-31,7760-411b-892,42,CAD,37590,NGN,School-Related,895,42
1800839,2023-12-31,1291-475e-ad2,12,CAD,10740,NGN,Other Personal Services,895,12
1800845,2023-12-31,f6a8-40b6-b6f,25,CAD,22375,NGN,Health-Related,895,25
1800846,2023-12-31,1291-475e-ad2,45,CAD,40275,NGN,Other Personal Services,895,45
1800849,2023-12-31,2dfe-4263-a27,45,CAD,40275,NGN,Other Personal Services,895,45
1800850,2023-12-31,2dfe-4263-a27,20,CAD,17900,NGN,Other Personal Services,895,20
1800851,2023-12-31,5adf-474a-be3,650,CAD,581750,NGN,Other Personal Services,895,650
1800855,2023-12-31,1036-4d4a-9fa,510,CAD,456450,NGN,School-Related,895,510
1800857,2023-12-31,de6d-4938-9ca,120,CAD,107400,NGN,Interest,895,120
1800858,2023-12-31,c311-44f3-86a,110,CAD,98450,NGN,Goods and Services,895,110
1800859,2023-12-31,1e02-4c5a-80c,63,CAD,56385,NGN,Goods and Services,895,63
1800861,2023-12-31,d338-4331-85d,34,CAD,30430,NGN,Grants and Gifts,895,34
1800863,2023-12-31,4565-4f0f-924,183000,NGN,201,CAD,bill,0.001098901,201
1800864,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800867,2023-12-31,1e9a-4a16-a40,60,CAD,53700,NGN,Grants and Gifts,895,60
1800868,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800869,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800871,2023-12-31,6b24-4313-a83,100,CAD,89500,NGN,School-Related,895,100
1800873,2023-12-31,4499-4eb7-b28,70,CAD,62650,NGN,Health-Related,895,70
1800876,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800882,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800884,2023-12-31,7760-411b-892,200000,NGN,200000,NGN,Debit Account,1,223
1800886,2023-12-31,ed0c-45a8-972,62,CAD,55043,NGN,Grants and Gifts,895,62
1800887,2023-12-31,1f59-4679-96b,360,CAD,322200,NGN,School-Related,895,360
1800888,2023-12-31,8cd6-4fea-82c,23,CAD,20585,NGN,School-Related,895,23
1800891,2023-12-31,a5cd-408e-b0b,1266000,NGN,1391,CAD,School-Related,0.001098901,1391
1800892,2023-12-31,c2e1-45f2-a03,100,CAD,89500,NGN,School-Related,895,100
1800897,2023-12-31,d130-40aa-b1f,360,CAD,322200,NGN,Other Personal Services,895,360
1800898,2023-12-31,5671-460f-944,34,CAD,30001,NGN,Health-Related,895,34
1800899,2023-12-31,6b66-491f-9bd,150,CAD,134250,NGN,Other Personal Services,895,150
1800901,2023-12-31,3c1e-4ca2-999,300,CAD,268500,NGN,Goods and Services,895,300
1800902,2023-12-31,f2e7-4019-b96,35,CAD,31325,NGN,Grants and Gifts,895,35
1800904,2023-12-31,dfef-4b0c-b0c,355000,NGN,390,CAD,School-Related,0.001098901,390
1800905,2023-12-31,85b9-48bc-822,250,CAD,223750,NGN,Other Personal Services,895,250
1800907,2023-12-31,ec2b-4a06-b9c,1400000,NGN,1538,CAD,Financial Lease,0.001098901,1538
1800910,2023-12-31,a97f-42aa-9a3,50200,NGN,55,CAD,School-Related,0.001098901,55
1800911,2023-12-31,8f52-4449-877,56,CAD,50120,NGN,School-Related,895,56
1800917,2023-12-31,9834-4073-a96,15,CAD,13425,NGN,Grants and Gifts,895,15
1800920,2023-12-31,7fc3-46e8-9dc,1300,CAD,1163500,NGN,Other Personal Services,895,1300
1800921,2023-12-31,9834-4073-a96,15,CAD,13425,NGN,Grants and Gifts,895,15
1800922,2023-12-31,e53e-4da2-9f9,1676,CAD,1500020,NGN,Goods and Services,895,1676
1800924,2023-12-31,3d0b-4f4a-987,100,CAD,89500,NGN,Goods and Services,895,100
1800926,2023-12-31,9834-4073-a96,15,CAD,13425,NGN,Grants and Gifts,895,15
1800927,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800928,2023-12-31,8f52-4449-877,78,CAD,69810,NGN,Health-Related,895,78
1800929,2023-12-31,d338-4331-85d,23,CAD,20585,NGN,Grants and Gifts,895,23
1800932,2023-12-31,8eb6-4734-9e1,19500,NGN,21,CAD,School-Related,0.001098901,21
1800933,2023-12-31,b96f-425a-ae0,20,CAD,17900,NGN,Health-Related,895,20
1800934,2023-12-31,202c-400d-9bc,56,CAD,50120,NGN,Health-Related,895,56
1800935,2023-12-31,f2e6-4226-a95,400,CAD,358000,NGN,Goods and Services by Travellers,895,400
1800937,2023-12-31,c77a-4193-b98,911000,NGN,1001,CAD,Health-Related,0.001098901,1001
1800938,2023-12-31,b96f-425a-ae0,20,CAD,17900,NGN,Health-Related,895,20
1800939,2023-12-31,f2e6-4226-a95,100,CAD,89500,NGN,Goods and Services by Travellers,895,100
